Movie_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes,Gross,Num_Genres
My Fair Lady,1964,G,170,Drama,7.8,95.0,George Cukor,Audrey Hepburn,86525,72000000,3
Mary Poppins,1964,G,139,Comedy,7.8,88.0,Robert Stevenson,Julie Andrews,158029,102272727,3
The Longest Day,1962,G,178,Action,7.8,75.0,Ken Annakin,Andrew Marton,52141,39100000,3
The Innocents,1961,R,100,Horror,7.8,88.0,Jack Clayton,Deborah Kerr,27007,2616000,1
Deadpool 2,2018,R,119,Action,7.7,66.0,David Leitch,Ryan Reynolds,478586,324591735,3
Wind River,2017,R,107,Crime,7.7,73.0,Taylor Sheridan,Kelsey Asbille,205444,33800859,3
Get Out,2017,R,104,Horror,7.7,85.0,Jordan Peele,Daniel Kaluuya,492851,176040665,3
Mission: Impossible - Fallout,2018,PG-13,147,Action,7.7,86.0,Christopher McQuarrie,Tom Cruise,291257,220159104,3
En man som heter Ove,2015,PG-13,116,Comedy,7.7,70.0,Hannes Holm,Rolf Lassgård,47444,3358518,3
What We Do in the Shadows,2014,R,86,Comedy,7.7,76.0,Jemaine Clement,Taika Waititi,157498,3333000,2
Omoide no Mânî,2014,G,103,Animation,7.7,72.0,James Simone,Hiromasa Yonebayashi,32798,765127,3
The Theory of Everything,2014,G,123,Biography,7.7,72.0,James Marsh,Eddie Redmayne,404182,35893537,3
Kingsman: The Secret Service,2014,R,129,Action,7.7,60.0,Matthew Vaughn,Colin Firth,590440,128261724,3
The Fault in Our Stars,2014,PG-13,126,Drama,7.7,69.0,Josh Boone,Shailene Woodley,344312,124872350,2
Me and Earl and the Dying Girl,2015,PG-13,105,Comedy,7.7,74.0,Alfonso Gomez-Rejon,Thomas Mann,123210,6743776,2
Birdman or (The Unexpected Virtue of Ignorance),2014,R,119,Comedy,7.7,87.0,Alejandro G. Iñárritu,Michael Keaton,580291,42340598,2
La vie d'Adèle,2013,R,180,Drama,7.7,89.0,Abdellatif Kechiche,Léa Seydoux,138741,2199675,2
Kai po che!,2013,G,130,Drama,7.7,40.0,Abhishek Kapoor,Amit Sadh,32628,1122527,2
Captain America: The Winter Soldier,2014,PG-13,136,Action,7.7,70.0,Anthony Russo,Joe Russo,736182,259766572,3
Nebraska,2013,PG-13,115,Adventure,7.7,87.0,Alexander Payne,Bruce Dern,112298,17654912,3
Wreck-It Ralph,2012,G,101,Animation,7.7,72.0,Rich Moore,John C. Reilly,380195,189422889,3
Le Petit Prince,2015,PG,108,Animation,7.7,70.0,Mark Osborne,Jeff Bridges,56720,1339152,3
Midnight in Paris,2011,PG-13,96,Comedy,7.7,81.0,Woody Allen,Owen Wilson,388089,56816662,3
The Lego Movie,2014,G,100,Animation,7.7,83.0,Christopher Miller,Phil Lord,323982,257760692,3
Gravity,2013,PG-13,91,Drama,7.7,96.0,Alfonso Cuarón,Sandra Bullock,769145,274092705,3
Star Trek Into Darkness,2013,PG-13,132,Action,7.7,72.0,J.J. Abrams,Chris Pine,463188,228778661,3
The Social Network,2010,PG-13,120,Biography,7.7,95.0,David Fincher,Jesse Eisenberg,624982,96962694,2
X: First Class,2011,PG-13,131,Action,7.7,65.0,Matthew Vaughn,James McAvoy,645512,146408305,3
The Hangover,2009,PG-13,100,Comedy,7.7,73.0,Todd Phillips,Zach Galifianakis,717559,277322503,1
Skyfall,2012,PG-13,143,Action,7.7,81.0,Sam Mendes,Daniel Craig,630614,304360277,3
Silver Linings Playbook,2012,R,122,Comedy,7.7,81.0,David O. Russell,Bradley Cooper,661871,132092958,3
Argo,2012,R,120,Biography,7.7,86.0,Ben Affleck,Ben Affleck,572581,136025503,3
(500) Days of Summer,2009,PG-13,95,Comedy,7.7,76.0,Marc Webb,Zooey Deschanel,472242,32391374,3
Harry Potter and the Deathly Hallows: Part 1,2010,R,146,Adventure,7.7,65.0,David Yates,Daniel Radcliffe,479120,295983305,3
Gake no ue no Ponyo,2008,G,101,Animation,7.7,86.0,Hayao Miyazaki,Cate Blanchett,125317,15090400,3
Frost/Nixon,2008,R,122,Biography,7.7,80.0,Ron Howard,Frank Langella,103330,18593156,3
Papurika,2006,G,90,Animation,7.7,81.0,Satoshi Kon,Megumi Hayashibara,71379,881302,3
Changeling,2008,R,141,Biography,7.7,63.0,Clint Eastwood,Angelina Jolie,239203,35739802,3
Flipped,2010,PG,90,Comedy,7.7,45.0,Rob Reiner,Madeline Carroll,81446,1752214,3
Ex Machina,2014,PG-13,108,Drama,7.7,78.0,Alex Garland,Alicia Vikander,474141,25442958,3
Efter brylluppet,2006,R,120,Drama,7.7,78.0,Susanne Bier,Mads Mikkelsen,32001,412544,1
The Last King of Scotland,2006,R,123,Biography,7.7,74.0,Kevin Macdonald,James McAvoy,175355,17605861,3
Zodiac,2007,PG-13,157,Crime,7.7,78.0,David Fincher,Jake Gyllenhaal,466080,33080084,3
Lucky Number Slevin,2006,R,110,Action,7.7,53.0,Paul McGuigan,Josh Hartnett,299524,22494487,3
Joyeux Noël,2005,PG-13,116,Drama,7.7,70.0,Christian Carion,Diane Kruger,28003,1054361,3
Control,2007,R,122,Biography,7.7,78.0,Anton Corbijn,Sam Riley,61609,871577,3
Tangled,2010,G,100,Animation,7.7,71.0,Nathan Greno,Byron Howard,405922,200821936,3
Zwartboek,2006,R,145,Drama,7.7,71.0,Paul Verhoeven,Carice van Houten,72643,4398392,3
Brokeback Mountain,2005,R,134,Drama,7.7,87.0,Ang Lee,Jake Gyllenhaal,323103,83043761,2
3:10 to Yuma,2007,R,122,Action,7.7,76.0,James Mangold,Russell Crowe,288797,53606916,3
Crash,2004,PG-13,112,Crime,7.7,66.0,Paul Haggis,Don Cheadle,419483,54580300,3
Kung fu,2004,PG-13,99,Action,7.7,78.0,Stephen Chow,Stephen Chow,127250,17108591,3
The Bourne Supremacy,2004,R,108,Action,7.7,73.0,Paul Greengrass,Matt Damon,434841,176241941,3
The Machinist,2004,R,101,Drama,7.7,61.0,Brad Anderson,Christian Bale,358432,1082715,2
Ray,2004,R,152,Biography,7.7,73.0,Taylor Hackford,Jamie Foxx,138356,75331600,3
Lost in Translation,2003,PG-13,102,Comedy,7.7,89.0,Sofia Coppola,Bill Murray,415074,44585453,2
Harry Potter and the Goblet of Fire,2005,PG-13,157,Adventure,7.7,81.0,Mike Newell,Daniel Radcliffe,548619,290013036,3
Man on Fire,2004,PG-13,146,Action,7.7,47.0,Tony Scott,Denzel Washington,329592,77911774,3
Coraline,2009,G,100,Animation,7.7,80.0,Henry Selick,Dakota Fanning,197761,75286229,3
The Last Samurai,2003,PG-13,154,Action,7.7,55.0,Edward Zwick,Tom Cruise,400049,111110575,2
The Magdalene Sisters,2002,R,114,Drama,7.7,83.0,Peter Mullan,Eileen Walsh,25938,4890878,1
Good Bye Lenin!,2003,R,121,Comedy,7.7,68.0,Wolfgang Becker,Daniel Brühl,137981,4064200,3
In America,2002,PG-13,105,Drama,7.7,76.0,Jim Sheridan,Paddy Considine,40403,15539266,1
I Am Sam,2001,PG-13,132,Drama,7.7,28.0,Jessie Nelson,Sean Penn,142863,40311852,1
Adaptation.,2002,R,115,Comedy,7.7,83.0,Spike Jonze,Nicolas Cage,178565,22245861,2
Black Hawk Down,2001,R,144,Drama,7.7,74.0,Ridley Scott,Josh Hartnett,364254,108638745,3
Road to Perdition,2002,R,117,Crime,7.7,72.0,Sam Mendes,Tom Hanks,246840,104454762,3
Das Experiment,2001,R,120,Drama,7.7,60.0,Oliver Hirschbiegel,Moritz Bleibtreu,90842,141072,2
Billy Elliot,2000,R,110,Drama,7.7,74.0,Stephen Daldry,Jamie Bell,126770,21995263,2
Hedwig and the Angry Inch,2001,R,95,Comedy,7.7,85.0,John Cameron Mitchell,John Cameron Mitchell,31957,3029081,3
Ocean's Eleven,2001,PG-13,116,Crime,7.7,74.0,Steven Soderbergh,George Clooney,516372,183417150,2
Vampire Hunter D: Bloodlust,2000,G,103,Animation,7.7,62.0,Yoshiaki Kawajiri,Andrew Philpot,29210,151086,3
"O Brother, Where Art Thou?",2000,G,107,Adventure,7.7,69.0,Joel Coen,Ethan Coen,286742,45512588,3
"South Park: Bigger, Longer & Uncut",1999,R,81,Animation,7.7,73.0,Trey Parker,Trey Parker,192112,52037603,3
Office Space,1999,R,89,Comedy,7.7,68.0,Mike Judge,Ron Livingston,241575,10824921,1
Training Day,2001,R,122,Crime,7.7,69.0,Antoine Fuqua,Denzel Washington,390247,76631907,3
Rushmore,1998,PG-13,93,Comedy,7.7,86.0,Wes Anderson,Jason Schwartzman,169229,17105219,3
