Genre,Meta_Score,Top_Director
Action,98,Akira Kurosawa
Adventure,100,David Lean
Animation,96,James Algar
Biography,97,Jim Sheridan
Comedy,99,Stanley Donen
Crime,100,Francis Ford Coppola
Drama,100,Richard Linklater
Family,91,Steven Spielberg
Film-Noir,97,Carol Reed
Horror,97,Alfred Hitchcock
Mystery,100,Alfred Hitchcock
Western,90,Sergio Leone
